hour,delivery_duration
0,37.3014705882353
1,37.13
2,38.273381294964025
3,37.64203233256351
4,37.34634146341463
5,38.305045871559635
6,37.61557788944724
7,37.28217821782178
8,37.614427860696516
9,37.65603644646925
10,37.450980392156865
11,37.41959798994975
12,50.738386308068456
13,49.44748858447488
14,49.86294416243655
15,38.08152173913044
16,36.95777777777778
17,37.334117647058825
18,37.78947368421053
19,59.703896103896106
20,59.991150442477874
21,60.329268292682926
22,59.920529801324506
23,37.577586206896555
